Pkt_no,Time,src,dst,length,ttl,Type,RTT,lat,lon,mPci,mEarfcn,rssi,rsrp,rsrq,rssnr,lteLevel,Cell_mPci,Cell_rssi,Cell_rsrp,Cell_rsrq
83,1685649952.402913000,142.250.72.164,10.215.173.1,132,64,0,37.92,40.493834,-111.865850,423,66536,-51,-80,-10,23,5,423,-51,-76,-8
84,1685649953.366850000,10.215.173.1,142.250.72.164,132,64,8,,40.493834,-111.865850,423,66536,-51,-80,-10,23,5,423,-51,-76,-8
85,1685649953.401659000,142.250.72.164,10.215.173.1,132,64,0,34.809,40.493834,-111.865850,423,66536,-51,-80,-10,23,5,423,-51,-76,-8
86,1685649954.368887000,10.215.173.1,142.250.72.164,132,64,8,,40.493834,-111.865850,423,66536,-51,-80,-10,23,5,423,-51,-76,-8
87,1685649954.428654000,142.250.72.164,10.215.173.1,132,64,0,59.767,40.493834,-111.865850,423,66536,-51,-80,-10,23,5,423,-51,-76,-8
88,1685649955.370702000,10.215.173.1,142.250.72.164,132,64,8,,40.493834,-111.865850,423,66536,-51,-80,-10,23,5,423,-51,-76,-8
89,1685649955.412647000,142.250.72.164,10.215.173.1,132,64,0,41.945,40.493834,-111.865850,423,66536,-51,-80,-10,23,5,423,-51,-76,-8
90,1685649956.372108000,10.215.173.1,142.250.72.164,132,64,8,,40.493834,-111.865850,423,66536,-51,-80,-10,23,5,423,-51,-76,-8
91,1685649956.412604000,142.250.72.164,10.215.173.1,132,64,0,40.496,40.493834,-111.865850,423,66536,-51,-80,-10,23,5,423,-51,-76,-8
92,1685649957.373545000,10.215.173.1,142.250.72.164,132,64,8,,40.493834,-111.865850,423,66536,-51,-80,-10,23,5,423,-51,-76,-8
93,1685649957.412801000,142.250.72.164,10.215.173.1,132,64,0,39.256,40.493834,-111.865850,423,66536,-51,-80,-10,23,5,423,-51,-76,-8
94,1685649958.374909000,10.215.173.1,142.250.72.164,132,64,8,,40.493834,-111.865850,423,66536,-51,-80,-10,23,5,423,-51,-76,-8
95,1685649958.412859000,142.250.72.164,10.215.173.1,132,64,0,37.95,40.493834,-111.865850,423,66536,-51,-80,-10,23,5,423,-51,-76,-8
96,1685649959.376625000,10.215.173.1,142.250.72.164,132,64,8,,40.493834,-111.865850,423,66536,-51,-80,-10,23,5,423,-51,-76,-8
97,1685649959.412771000,142.250.72.164,10.215.173.1,132,64,0,36.146,40.493834,-111.865850,423,66536,-51,-80,-10,23,5,423,-51,-76,-8
98,1685649960.378466000,10.215.173.1,142.250.72.164,132,64,8,,40.493834,-111.865850,423,66536,-51,-80,-10,23,5,423,-51,-76,-8
99,1685649960.432774000,142.250.72.164,10.215.173.1,132,64,0,54.308,40.493834,-111.865850,423,66536,-51,-80,-10,23,5,423,-51,-76,-8
100,1685649961.379936000,10.215.173.1,142.250.72.164,132,64,8,,40.493834,-111.865850,423,66536,-51,-80,-10,23,5,423,-51,-76,-8
101,1685649961.422810000,142.250.72.164,10.215.173.1,132,64,0,42.874,40.493834,-111.865850,423,66536,-51,-80,-10,23,5,423,-51,-76,-8
102,1685649962.381385000,10.215.173.1,142.250.72.164,132,64,8,,40.493834,-111.865850,423,66536,-51,-80,-10,23,5,423,-51,-76,-8
103,1685649962.422796000,142.250.72.164,10.215.173.1,132,64,0,41.411,40.493834,-111.865850,423,66536,-51,-80,-10,23,5,423,-51,-76,-8
104,1685649963.383145000,10.215.173.1,142.250.72.164,132,64,8,,40.493834,-111.865850,423,66536,-51,-80,-10,23,5,423,-51,-76,-8
105,1685649963.422858000,142.250.72.164,10.215.173.1,132,64,0,39.713,40.493834,-111.865850,423,66536,-51,-80,-10,23,5,423,-51,-76,-8
106,1685649964.384763000,10.215.173.1,142.250.72.164,132,64,8,,40.493834,-111.865850,423,66536,-51,-80,-10,23,5,423,-51,-76,-8
107,1685649964.422969000,142.250.72.164,10.215.173.1,132,64,0,38.206,40.493834,-111.865850,423,66536,-51,-80,-10,23,5,423,-51,-76,-8
108,1685649965.386368000,10.215.173.1,142.250.72.164,132,64,8,,40.493834,-111.865850,423,66536,-51,-80,-10,23,5,423,-51,-76,-8
